1,A.,Kal. Jan.,Circumcisio Domini,
2,B.,4 Nonas,Ieiunium obserbabitur,
3,C.,3 Nonas,,
4,D.,2 Nonas,,
5,E.,Nonis,,
6,F.,8 Idus,Apparitio Domini,
7,G.,7 Idus,Sancte Iuliani et Baselissa,
8,A.,6 Idus,Allisio Infantum,
9,B.,5 Idus,Sanctorum quadraginta,
10,C.,4 Idus,,
11,D.,3 Idus,,
12,E.,2 Idus,,
13,F.,Idibus,,
14,G.,19 Kal. Feb.,Obit. + die Iuliani,
15,A.,18 Kal.,,
16,B.,17 Kal.,,
17,C.,16 Kal.,,
18,D.,15 Kal.,,
19,E.,14 Kal.,Sancte Sabastiani cm,CM= Sociorum?????? Or Confessor Martyr? Or Comitum
20,F.,13 Kal.,,Pretty sure its comitum
21,G.,12 Kal.,Sanctara Virginum Agnetis et {e}merentiane,
22,A.,11 Kal.,Sancte Fructuosi epi. Augurii et Eulogii,
23,B.,10 Kal.,Sancte Vincenti leuite,
24,C.,9 Kal.,Obit. In domini Ildefonsi epi.,
25,D.,8 Kal.,Sancte Babile epi. et trium puerorum,
26,E.,7 Kal.,,
27,F.,6 Kal.,,
28,G.,5 Kal.,Sancte Tyrsi et cm,
29,A.,4 Kal.,,
30,B.,3 Kal.,,
31,C.,2 Kal.,,
1,D.,Kal. Feb.,,
2,E.,4 Nonas,Feb.,
3,F.,3 Nonas,,
4,G.,2 Nonas,,
5,A.,Nonis,Sancte Agate virg.,
6,B.,8 Idus,,
7,C.,7 Idus,Sancte Dorotae Virg. et cm,
8,D.,6 Idus,,
9,E.,5 Idus,,
10,F.,4 Idus,,
11,G.,3 Idus,,
12,A.,2 Idus,Sancte Eolaliae Barchinonensis,
13,B.,Idus,,
14,C.,16 Kal. Mar.,,
15,D.,15 Kal.,,
16,E.,14 Kal.,,
17,F.,13 Kal.,,
18,G.,12 Kal.,,
19,A.,11 Kal.,"Sancte Pantaleonis cm, eius",
20,B.,10 Kal.,,
21,C.,9 Kal.,Sancte Ylari epi. {Hilary},
22,D.,8 Kal.,Katedra sancte Petri Apostoli,
23,E.,7 Kal.,,
24,F.,6 Kal.,,
25,G.,5 Kal.,,
26,A.,4 Kal.,,
27,B.,3 Kal.,,
