Year,Name,Link,Use,Downloaded?,Location,Notes
1250,Dominican Breviary,https://archive.org/details/rome_santa_sabina_xiv_l2_202401/,SOP,,,
1256,Dominican Office,https://archive.org/details/rome_santa_sabina_xiv_l1,SOP,yes,both,
1300,Book of Hours,https://www.loc.gov/item/2021668184/,Horarum,,,
1420,Book of Hours of Daniel Rym,https://www.loc.gov/item/2021668187/,Horarum,,,
1474,Roman Breviary,https://archive.org/details/breviariumromanum1474,Roman,,,Same as above
1474,Roman Breviary,https://archive.org/details/OEXV356,Roman,,,
1477,Breviarium fratrum praedicatorum,https://books.google.com/books?id=JXofskZjVOUC,SOP,,,
1478,Roman Breviary,https://archive.org/details/OEXV147a,Roman,,,
1480,Breviarium Leodiense,https://books.google.com/books?id=YWJLk4xjNHkC,,,,
1481,Breviarium Bituricense,https://archive.org/details/OEXV753,,,,
1481,Breviarium Augustanum,https://books.google.com/books?id=av7P3Ztcs1UC,,,,
1487,Breviarium Traiectense,https://archive.org/details/ned-kbn-all-00002070-001,,,,
1488,Dominican Breviary,https://archive.org/details/ita-bnc-in2-00001051-001,SOP,,,
1490,Breviarium Ambianense,https://archive.org/details/OEXV_726,,,,
1490,Breviarium Pataviense,https://books.google.com/books?id=D1kRagOy9dYC,,,,
1490,Breviarium secundum usum et consuetudinem sancte ecclesie Viennensis,https://archive.org/details/OEXV781,,,,
1491,Breviarium Secundum Usum Romanae Curiae et Ritum Fratrum Minorum ,https://archive.org/details/ppldut00042,Roman,,,
1492,Breviarium Parisense,https://archive.org/details/OEXV466RES,,,,
1493,Breviarium Augustanum,https://books.google.com/books?id=vQGA6J-V7FAC,,,,
1494,Breviarium Cisterciense: Kalendarium,https://books.google.com/books?id=TIo-lZahA_IC,,,,
1494,Breviarium fratrum praedicatorum: Kalendarium,https://books.google.com/books?id=zru-maSbYZQC,SOP,,,
1495,Breviarium Augustanum,https://books.google.com/books?id=yY3gl8xa7FAC,,,,
1495,Breviarium Ratisponense,https://books.google.com/books?id=kbqjyP61t2UC,,,,
1496,Breviarium Upsalense,https://archive.org/details/OEXV822,,,,
1496,Breviarium Cisterciense,https://archive.org/details/8BB1391INV1564RES_P2,,,,
1496,Breviarium Upsalense,https://archive.org/details/OEXV822,,,,
1497,Breviarium Belvacense,https://archive.org/details/OEXV362_BIS,,,,
1497,Breviarium Tornacense,https://archive.org/details/OEXV828_3a/,,,,
1497,Breviarium Cameracense,https://archive.org/details/OEXV361,,,,
1497,Breviarium Cameracense,https://archive.org/details/OEXV362,,,,
1497,Breviarium Salisburgense,https://books.google.com/books?id=mpjxfMr_Rl4C,,,,
1500,Breviarium Benedictinum Mellicense,https://books.google.com/books?id=AtSKzZH1lVMC,,,,
1500,Breviarium Benedictinum Mellicense,https://books.google.com/books?id=cEsPovZZcxgC,,,,
1500,Breviarium Benedictinum Mellicense,https://books.google.com/books?id=q4fY3ZNplI4C,,,,
1500,Breviarium Benedictinum Mellicense,https://books.google.com/books?id=ebU2hrkib6AC,,,,
1500,Breviarium Benedictinum Mellicense,https://books.google.com/books?id=XAQvhAp4a2UC,,,,
1500,Breviarium Benedictinum Mellicense,https://books.google.com/books?id=-u_K80m5CZ8C,,,,
1500,Breviarium Benedictinum Mellicense,https://books.google.com/books?id=7Hz_o60VsDgC,,,,
1500,Breviarium Benedictinum Mellicense,https://books.google.com/books?id=n9WMVbZX9eQC,,,,
1500,Breviarium Elnense,https://archive.org/details/OEXV364RES,,,,
1500,Breviarium Parisense,https://archive.org/details/OEXV743,,,,
1500,Breuiarium secundũ usum eccle[siae] Leodieñ,https://books.google.com/books?id=gh-cfnvgkNIC,,,,
1502,Breviarium secundum Romanae Curiae,https://www.loc.gov/item/2021668197/,Roman,yes,Desktop,
1502,Breviarium Gothicum,http://www.bvh.univ-tours.fr/B410186201_I40bis/B410186201_I40bis.pdf,,yes,both,
1502,Breviarium Salisburgense,https://books.google.com/books?id=LA48AAAAcAAJ,,,,
1502,Breviarium Salisburgense,https://books.google.com/books?id=SQ48AAAAcAAJ,,,,
1504,Breviarium ad vsum romane curie,https://books.google.com/books?id=8yihkS-8zo8C,Roman,,,
1505,Breviarium Praemonstratense,https://books.google.com/books?id=nTZWAAAAcAAJ,,,,
1505,Breviarium Praemonstratense,https://books.google.com/books?id=nTZWAAAAcAAJ,,,,
1506,Breuiarium ordinis sancti Benedicti de nouo in monte pannonie Sancti martini,https://books.google.com/books?id=DbpV9MjIckwC,,,,
1506,Breuiarium ordinis sancti Benedicti de nouo in monte pannonie Sancti martini,https://books.google.com/books?id=aS5XAAAAcAAJ,,,,
1506,Breuiarium ordinis sancti Benedicti de nouo in monte pannonie Sancti martini,https://books.google.com/books?id=2mRUAAAAcAAJ,,,,
1506,Breuiarium ordinis sancti Benedicti de nouo in monte pannonie Sancti martini,https://books.google.com/books?id=SmNUAAAAcAAJ,,,,
1508,Breviarium secundum usum Cisterciensis ordinis,https://books.google.com/books?id=cQg8AAAAcAAJ,,,,
1508,Nocturnale Estiuale et Hyemale Aestivalis 1,https://books.google.com/books?id=Bgp1UmafPNgC,,,,
1508,Nocturnale Estiuale et Hyemale Aestivalis 1,https://books.google.com/books?id=-PA7AAAAcAAJ,,,,
1508,Nocturnale Estiuale et Hyemale Aestivalis 1,https://books.google.com/books?id=HwU8AAAAcAAJ,,,,
1508,Nocturnale Estiuale et Hyemale Hiemalis 2,https://books.google.com/books?id=6fA7AAAAcAAJ,,,,
1508,Nocturnale Estiuale et Hyemale Hiemalis 2,https://books.google.com/books?id=DAU8AAAAcAAJ,,,,
1508,Nocturnale Estiuale et Hyemale Hiemalis 2,https://books.google.com/books?id=PwU8AAAAcAAJ,,,,
1508,Nocturnale Estiuale et Hyemale Hiemalis 2,https://books.google.com/books?id=DCnYcPLMy7wC,,,,
1509,Breviarium Salisburgense,https://books.google.com/books?id=WzdUAAAAcAAJ,,,,
1513,Breviarium Magdeburgensis,https://opendata2.uni-halle.de/explore?bitstream_id=883c57f0-cc87-4bff-a423-3041a90342a3&handle=1516514412012%2F6989&provider=iiif-image,,yes,Desktop,
1515,Breviarium candidissimi ordinis premonstratensis,https://books.google.com/books?id=PFXUu5_TX3wC,,,,
1515,Breuiarium Carmelitarum,https://books.google.com/books?id=os9WAAAAcAAJ,,,,
1516,Breviarium Frisingense,https://books.google.com/books?id=cKuIwB9GRBAC,,,,
1516,Breviarium Brixinense,https://books.google.com/books?id=rA08AAAAcAAJ,,,,
1516,Breviarium Brixinense,https://books.google.com/books?id=qOI7AAAAcAAJ,,,,
1517,Breviarium secundum usum ordinis S. Johannis Hierosolymitani,https://books.google.com/books?id=T1BmAAAAcAAJ,,,,
1517,Breuiarium horarum canonicarum secundum veram rubricam archiepiscopatus Pragensis,https://books.google.com/books?id=OMPsRaAZm90C,,,,
1518,Breviarium Benedictinum,https://books.google.com/books?id=wV1UAAAAcAAJ,,,,
1519,Breviarium Benedictinum,https://books.google.com/books?id=q11UAAAAcAAJ,,,,
1519,Breviarium Benedictinum,https://books.google.com/books?id=mmFUAAAAcAAJ,,,,
1519,Breviarium Benedictinum,https://books.google.com/books?id=PFxUAAAAcAAJ,,,,
